Vehicle Model,Battery Capacity (kWh),Charging Station Location,Energy Consumed (kWh),Charging Rate (kW),Charging Time Difference (minutes),Time of Day,Day of Week,State of Charge (Start %),State of Charge (End %),Distance Driven (since last charge) (km),Temperature (°C),Vehicle Age (years),Charger Type,User Type,Energy per 100 km (kWh/100 km),Charging Cost (USD),Long Session
Nissan Leaf,94.58931453,Houston,49.93678448,4.068198473,89,Morning,Saturday,95.74868144,100,140.9657666,7.446134878,6,Level 2,Casual Driver,35.42475999,12.48419612,Normal
BMW i3,69.51812956,San Francisco,0.456576598,31.69271768,16,Night,Saturday,38.84465594,39.50142936,102.164804,47.50546748,5,DC Fast Charger,Commuter,0.446902045,0.182630639,Normal
Nissan Leaf,113.7830867,San Francisco,35.72900553,41.03833557,90,Evening,Wednesday,28.19551371,59.59649479,88.76288432,17.73846962,5,Level 2,Casual Driver,40.25219077,8.932251383,Normal
BMW i3,77.39936186,San Francisco,75.27113975,27.39718913,108,Afternoon,Wednesday,20.8389652,100,119.1356561,41.00954743,5,Level 1,Commuter,63.18103428,9.785248167,Long Session
BMW i3,44.32214827,San Francisco,38.95562133,46.67585227,149,Night,Sunday,30.39489581,100,159.0510516,1.916501593,3,Level 2,Commuter,24.49252673,9.738905333,Normal
Hyundai Kona,63.40388226,Los Angeles,22.14903965,9.984817771,178,Morning,Sunday,61.2008025,96.13405715,119.5530226,12.81307132,4,Level 1,Long-Distance Traveler,18.52654091,2.879375154,Long Session
BMW i3,58.93160754,San Francisco,45.67264974,22.29490593,189,Night,Saturday,57.19678761,100,124.3878921,11.4658784,4,Level 1,Casual Driver,36.71792242,5.937444466,Normal
Tesla Model 3,51.31764477,Houston,47.00942331,27.18048252,143,Afternoon,Sunday,68.62279962,100,65.98610471,-6.047954268,1,Level 2,Long-Distance Traveler,71.24139774,11.75235583,Long Session
Tesla Model 3,73.90639559,New York,30.24478931,52.33189274,9,Night,Friday,16.11969213,57.04279367,184.8201573,-8.356726833,2,Level 2,Long-Distance Traveler,16.36444301,7.561197328,Normal
Tesla Model 3,71.83570757,Houston,44.92805047,31.08004199,59,Night,Tuesday,5.083801775,67.62658445,155.4576801,35.17865171,3,Level 1,Long-Distance Traveler,28.90050233,5.840646562,Normal
Hyundai Kona,44.18136036,Chicago,32.07115812,40.20205893,199,Morning,Saturday,40.54207577,100,156.259506,-10.63311283,7,Level 1,Casual Driver,20.52429253,4.169250556,Long Session
Chevy Bolt,63.31258503,Houston,45.03794311,23.5391443,207,Night,Sunday,69.0697689,100,96.00131726,3.889040312,7,Level 1,Long-Distance Traveler,46.91388035,5.854932605,Long Session
Chevy Bolt,81.79577552,New York,28.20704863,22.9218657,29,Night,Tuesday,19.65006239,54.13478785,161.0451317,57.05970988,3,DC Fast Charger,Commuter,17.51499616,11.28281945,Normal
Nissan Leaf,77.5110297,Chicago,75.62823985,22.12722855,186,Evening,Saturday,22.86256404,100,201.2749536,23.29048138,4,Level 2,Casual Driver,37.57459063,18.90705996,Normal
Tesla Model 3,73.20005121,San Francisco,30.41903766,41.01093794,134,Morning,Wednesday,63.62903157,100,57.30186584,35.5194161,6,Level 1,Long-Distance Traveler,53.08559715,3.954474896,Long Session
Hyundai Kona,73.07555287,Chicago,80.98887221,39.01394531,94,Morning,Monday,26.05134486,100,124.2217785,-7.082515733,3,Level 2,Casual Driver,65.19699944,20.24721805,Normal
Hyundai Kona,87.08420321,Chicago,63.79394244,41.64835955,157,Afternoon,Tuesday,16.55963312,89.81510321,152.620515,14.50756451,10,DC Fast Charger,Commuter,41.7990612,25.51757698,Long Session
Chevy Bolt,88.81043499,Houston,46.66974424,23.38747747,81,Morning,Saturday,59.25694776,100,163.7746526,33.95086524,5,Level 2,Commuter,28.49631704,11.66743606,Normal
Chevy Bolt,53.77091642,Chicago,24.14221171,26.10330732,180,Night,Tuesday,71.61933136,100,169.8858237,-0.915293345,2,Level 2,Commuter,14.21084537,6.035552929,Long Session
Chevy Bolt,66.91067318,Los Angeles,40.77312084,17.12613137,89,Night,Monday,58.5000558,100,201.2576409,34.76053119,3,Level 1,Commuter,20.25916663,5.300505709,Long Session
BMW i3,49.24951864,Houston,73.97960725,22.98714425,215,Evening,Saturday,12.2130516,100,96.09944708,32.8609259,1,Level 1,Commuter,76.98234434,9.617348943,Normal
Nissan Leaf,94.96034708,Chicago,28.80037057,38.10645176,185,Evening,Monday,60.73767591,91.06651469,101.6095511,34.99120283,1,DC Fast Charger,Casual Driver,28.34415687,11.52014823,Long Session
Chevy Bolt,77.6862763,Houston,11.74154654,3.709536527,144,Night,Tuesday,78.81387338,93.92792839,100.2323262,14.94086584,3,DC Fast Charger,Long-Distance Traveler,11.71433108,4.696618616,Long Session
Tesla Model 3,45.61411883,Houston,18.44576529,28.50638563,190,Night,Tuesday,47.50948933,87.94820822,118.179485,-3.246362394,5,DC Fast Charger,Casual Driver,15.60826339,7.378306116,Long Session
Nissan Leaf,83.58503064,Houston,78.43505362,21.81146063,161,Morning,Friday,32.4179135,100,208.121142,16.72446778,5,DC Fast Charger,Casual Driver,37.68721085,31.37402145,Normal
BMW i3,131.2851443,San Francisco,28.06198927,41.75021409,94,Morning,Tuesday,58.90063665,80.27547646,97.65623863,7.192277445,6,Level 1,Casual Driver,28.73548036,3.648058606,Normal
Tesla Model 3,80.82963581,San Francisco,42.03595532,18.04104909,89,Morning,Friday,22.25348496,74.25910752,101.7990906,26.64214101,3,DC Fast Charger,Commuter,41.29305584,16.81438213,Long Session
Chevy Bolt,107.9809901,Los Angeles,47.46192803,81.00278707,114,Morning,Monday,44.92878081,88.88274715,155.553948,2.174253088,7,DC Fast Charger,Casual Driver,30.51155476,18.98477121,Normal
Chevy Bolt,70.03438162,New York,53.07857552,23.42860249,187,Night,Friday,79.45568896,100,113.3815766,24.72777364,4,Level 2,Long-Distance Traveler,46.8141096,13.26964388,Long Session
Nissan Leaf,66.6589007,San Francisco,27.6496919,25.99386859,208,Night,Friday,60.62530724,100,144.8350467,18.67452283,5,Level 2,Casual Driver,19.09047052,6.912422975,Normal
Tesla Model 3,85.56853489,New York,35.18841424,17.85090125,134,Morning,Wednesday,54.39188506,95.51496177,41.20504859,-18.81335007,6,Level 1,Casual Driver,85.39830785,4.574493851,Normal
BMW i3,99.31934428,San Francisco,2.222685697,25.42754715,167,Night,Tuesday,71.03907572,73.27699393,244.9771169,25.78983134,2,Level 2,Commuter,0.907303394,0.555671424,Long Session
BMW i3,46.44007982,New York,18.64978394,18.76441406,15,Evening,Tuesday,38.53807377,78.69688489,151.6999101,37.90313498,6,Level 1,Casual Driver,12.29386618,2.424471912,Normal
Nissan Leaf,56.15416665,Houston,44.65930652,22.0302254,150,Evening,Saturday,20.45273078,99.98254874,183.5675857,15.62120111,2,Level 2,Long-Distance Traveler,24.32853619,11.16482663,Normal
Hyundai Kona,45.19607787,Los Angeles,3.74543646,8.994592053,217,Night,Friday,34.58734573,42.87442867,43.26325652,36.2616339,2,Level 2,Commuter,8.657315147,0.936359115,Normal
Hyundai Kona,74.2646614,San Francisco,0.335770114,5.940058817,249,Afternoon,Saturday,41.22151379,41.67364015,119.7525899,1.712416539,7,Level 1,Casual Driver,0.280386515,0.043650115,Long Session
Nissan Leaf,75.96561582,Chicago,51.20540184,6.825742355,61,Afternoon,Sunday,73.4526068,100,90.57816756,25.82307009,5,DC Fast Charger,Long-Distance Traveler,56.53172637,20.48216074,Normal
Nissan Leaf,62.21151885,San Francisco,53.6314375,24.64783458,185,Evening,Sunday,49.70451856,100,82.45952261,25.53044973,5,DC Fast Charger,Commuter,65.03971379,21.452575,Long Session
Tesla Model 3,94.58334919,San Francisco,27.48956152,40.123668,200,Night,Monday,51.05055968,80.11440839,75.48546559,20.47626453,5,Level 2,Long-Distance Traveler,36.41702585,6.872390379,Long Session
Chevy Bolt,58.04356005,San Francisco,9.597605351,23.96338748,90,Afternoon,Tuesday,4.663527937,21.19870487,241.7813226,10.54391453,4,Level 1,Long-Distance Traveler,3.969539601,1.247688696,Normal
Hyundai Kona,71.54798353,San Francisco,31.87061083,24.15298296,121,Night,Friday,60.32221268,100,145.1012413,10.28250059,4,DC Fast Charger,Casual Driver,21.96439572,12.74824433,Long Session
Tesla Model 3,69.30338595,Houston,27.72164672,19.17799765,1,Evening,Sunday,27.77136843,67.77179026,101.9647721,48.91526087,9,Level 1,Commuter,27.18747481,3.603814074,Normal
Chevy Bolt,18.97416947,Los Angeles,68.04654283,20.10215457,94,Morning,Wednesday,56.37467305,100,135.2059224,44.6019511,4,DC Fast Charger,Long-Distance Traveler,50.32807855,27.21861713,Normal
Hyundai Kona,65.11931446,Houston,26.71623696,41.73638234,132,Evening,Sunday,45.43324523,86.45983954,199.823052,16.79234125,5,DC Fast Charger,Casual Driver,13.36994741,10.68649479,Normal
Chevy Bolt,57.65558431,San Francisco,40.40326671,39.31050447,5,Afternoon,Saturday,73.22194177,100,154.6299305,30.16302302,0,Level 2,Casual Driver,26.12900787,10.10081668,Normal
Nissan Leaf,87.9934011,San Francisco,40.09666101,39.55316715,216,Night,Friday,32.27094221,77.83874673,128.2131787,7.274245445,6,DC Fast Charger,Casual Driver,31.2734318,16.0386644,Normal
Chevy Bolt,80.42977918,Chicago,67.46815412,1.437217959,61,Afternoon,Tuesday,84.68583736,100,64.14456181,27.54773435,6,DC Fast Charger,Long-Distance Traveler,105.1814093,26.98726165,Normal
Nissan Leaf,90.48734206,Chicago,47.88748827,53.80098419,175,Afternoon,Saturday,14.95865279,67.88040646,266.8846782,21.23925478,9,Level 1,Commuter,17.94313881,6.225373475,Normal
BMW i3,83.13624581,New York,54.7958588,9.574893472,115,Afternoon,Saturday,30.25717838,96.16809156,96.36913919,16.52480852,4,Level 1,Commuter,56.86038005,7.123461643,Long Session
Hyundai Kona,84.16384991,San Francisco,38.54010557,45.75516311,154,Morning,Sunday,45.81041448,91.60217141,214.5424494,23.5135965,4,Level 2,Long-Distance Traveler,17.96386015,9.635026394,Normal
Hyundai Kona,100.9062377,New York,42.06131663,4.794915139,155,Night,Monday,44.98565929,86.66922375,90.86156331,9.025188652,2,Level 1,Casual Driver,46.29164973,5.467971162,Long Session
Chevy Bolt,66.8333377,Houston,9.591034383,26.35929703,114,Morning,Friday,40.39412442,54.74479837,114.0578229,30.68558747,3,Level 2,Long-Distance Traveler,8.408922894,2.397758596,Long Session
BMW i3,65.7616341,New York,17.41305257,46.05667084,90,Morning,Sunday,26.16148723,52.64053205,109.44791,-4.322318481,4,Level 2,Commuter,15.90989957,4.353263142,Normal
Hyundai Kona,69.77340078,San Francisco,50.39670487,21.13616175,47,Evening,Saturday,102.2811352,100,140.7875453,25.18338058,2,Level 2,Casual Driver,35.79628067,12.59917622,Normal
Tesla Model 3,45.71116993,Houston,42.88904678,38.24944463,55,Afternoon,Monday,69.16570689,100,236.4717452,10.57179884,5,Level 1,Long-Distance Traveler,18.13707035,5.575576082,Normal
Nissan Leaf,73.73293817,New York,65.55704164,38.16588698,56,Night,Saturday,56.49740981,100,74.8331921,11.71352235,5,Level 2,Long-Distance Traveler,87.60422989,16.38926041,Normal
Chevy Bolt,41.34172601,Houston,79.39376329,41.05195701,15,Afternoon,Thursday,57.64937321,100,165.2060482,36.56889434,4,Level 2,Casual Driver,48.05741929,19.84844082,Normal
Chevy Bolt,77.46834193,San Francisco,111.9443518,22.79788089,88,Evening,Wednesday,63.22495523,100,84.87046326,39.90226912,3,DC Fast Charger,Commuter,131.9002483,44.77774071,Normal
Hyundai Kona,58.14696255,Chicago,13.48887283,57.46355737,69,Morning,Monday,26.41579274,49.61369035,82.68760948,25.9916162,6,DC Fast Charger,Casual Driver,16.31305212,5.395549133,Normal
Chevy Bolt,109.6121588,Chicago,46.34170718,40.0024671,97,Evening,Tuesday,56.25570729,98.53359662,75.97958218,10.19127215,5,DC Fast Charger,Casual Driver,60.99231642,18.53668287,Normal
Chevy Bolt,56.29621476,Los Angeles,37.3667834,2.175750832,132,Afternoon,Wednesday,64.78129057,100,10.96217886,28.46214391,5,Level 1,Commuter,340.8700394,4.857681842,Normal
Nissan Leaf,59.04124709,Houston,48.39986516,38.28198251,67,Evening,Sunday,59.45023644,100,247.7515726,24.07415392,3,Level 1,Long-Distance Traveler,19.53564397,6.291982471,Normal
BMW i3,73.51492327,New York,28.1974003,52.9015361,110,Morning,Sunday,78.65171766,100,73.52790067,-8.98851595,4,Level 2,Commuter,38.34925252,7.049350075,Normal
Nissan Leaf,36.69012842,New York,33.61002842,37.8004207,112,Afternoon,Thursday,9.501567311,100,287.7386831,0.178015847,3,Level 2,Long-Distance Traveler,11.68074729,8.402507106,Normal
Nissan Leaf,103.7288588,Los Angeles,7.785545407,43.73556638,158,Evening,Tuesday,21.60952272,29.11519231,99.14117158,0.233248752,2,DC Fast Charger,Long-Distance Traveler,7.85298911,3.114218163,Normal
Hyundai Kona,62.3676492,San Francisco,60.0268186,46.63254289,193,Night,Friday,6.522279126,100,113.8253717,18.2716623,5,Level 1,Commuter,52.73588632,7.803486418,Normal
Chevy Bolt,103.0202005,Houston,45.57551804,21.6151178,68,Night,Tuesday,47.68975988,91.92915934,225.3264365,-5.619321111,6,DC Fast Charger,Long-Distance Traveler,20.22644069,18.23020722,Normal
Tesla Model 3,53.83304103,Houston,44.04812177,23.95161793,139,Evening,Friday,14.61357504,96.43715574,239.669573,33.68412956,4,DC Fast Charger,Casual Driver,18.37868747,17.61924871,Normal
Nissan Leaf,53.13080796,New York,23.66176889,26.90149533,264,Morning,Saturday,37.11384743,81.64877886,149.2694336,13.16372933,3,DC Fast Charger,Casual Driver,15.85171748,9.464707558,Normal
Nissan Leaf,77.99511571,Houston,17.57366666,30.42651593,37,Night,Monday,36.67777071,59.2095235,94.11155385,33.94376842,2,DC Fast Charger,Casual Driver,18.67322974,7.029466664,Normal
Hyundai Kona,61.00308149,San Francisco,42.48981662,47.38223363,122,Night,Friday,19.90488303,89.55680156,250.2070264,30.18497651,3,DC Fast Charger,Casual Driver,16.98186387,16.99592665,Normal
Tesla Model 3,88.7454359,New York,43.0829682,24.27999812,191,Afternoon,Wednesday,32.8132626,81.35994871,242.2885399,8.684745595,4,DC Fast Charger,Commuter,17.78167809,17.23318728,Long Session
BMW i3,49.98488565,Houston,37.90341531,19.67328634,7,Morning,Friday,68.89182894,100,108.3701458,22.38748924,6,Level 2,Commuter,34.97588291,9.475853829,Normal
BMW i3,68.95549798,Houston,24.80211315,74.19051903,172,Morning,Tuesday,81.90838646,100,130.0728537,-2.052861349,2,DC Fast Charger,Commuter,19.06786271,9.920845261,Normal
Nissan Leaf,76.40577707,New York,11.94981953,23.66719776,174,Morning,Friday,91.68924668,100,188.9961281,18.40720812,1,DC Fast Charger,Casual Driver,6.322785363,4.77992781,Normal
Hyundai Kona,82.60772067,San Francisco,23.01740066,21.18283985,204,Evening,Tuesday,34.97833264,62.84183072,291.8551589,11.35426382,8,DC Fast Charger,Long-Distance Traveler,7.886583452,9.206960265,Long Session
Nissan Leaf,117.1050259,Chicago,16.3501777,29.36628158,96,Evening,Sunday,33.9560281,47.91800588,89.82108248,11.1740121,3,DC Fast Charger,Commuter,18.20305127,6.540071079,Normal
Chevy Bolt,74.3327339,Los Angeles,14.06203118,20.71068449,323,Morning,Tuesday,35.99123552,54.90891881,56.93758794,-0.722434325,6,DC Fast Charger,Casual Driver,24.69727238,5.624812471,Long Session
BMW i3,83.40492029,San Francisco,54.58120646,41.5808361,131,Morning,Wednesday,75.43325817,100,84.78596869,1.284691259,1,DC Fast Charger,Commuter,64.37528202,21.83248258,Long Session
Nissan Leaf,69.13166606,Houston,56.26722166,40.14638407,139,Afternoon,Sunday,48.59410123,100,183.8596293,22.70522828,3,Level 2,Commuter,30.60335859,14.06680542,Normal
Hyundai Kona,69.72642097,Houston,34.28062885,26.2528645,191,Night,Friday,41.16972285,90.33419792,66.41315084,30.6450026,1,DC Fast Charger,Long-Distance Traveler,51.61723005,13.71225154,Normal
Hyundai Kona,90.36155233,Houston,72.71582267,66.94392851,142,Afternoon,Saturday,60.65179175,100,229.3575334,24.66966064,4,Level 2,Casual Driver,31.70413529,18.17895567,Normal
Tesla Model 3,90.8499061,Los Angeles,50.57168165,10.85963033,103,Morning,Tuesday,61.20241537,100,109.2637217,-8.76538845,4,Level 1,Long-Distance Traveler,46.28405554,6.574318615,Long Session
Tesla Model 3,94.22574356,New York,44.1492088,43.01770671,43,Afternoon,Saturday,75.48751289,100,180.3603046,8.001298064,6,Level 2,Long-Distance Traveler,24.47834012,11.0373022,Normal
Nissan Leaf,62.20158605,Houston,11.50825278,23.08907361,179,Afternoon,Friday,39.08284789,57.58439023,170.3325866,10.87842765,1,Level 2,Commuter,6.756342404,2.877063195,Long Session
Nissan Leaf,63.13945986,Chicago,31.95533584,49.23535555,86,Morning,Friday,7.454589647,58.0653106,344.623468,18.64125004,6,DC Fast Charger,Long-Distance Traveler,9.272536205,12.78213434,Normal
Chevy Bolt,69.20749976,New York,49.30726157,28.73125355,124,Afternoon,Sunday,49.09189973,100,95.66615697,30.71777072,7,DC Fast Charger,Commuter,51.54096614,19.72290463,Long Session
Hyundai Kona,63.08479193,San Francisco,23.29265504,37.6262931,178,Morning,Friday,48.92395953,85.84673335,85.99161639,15.94514518,3,Level 1,Casual Driver,27.08712316,3.028045155,Normal
Tesla Model 3,58.09046026,San Francisco,49.8348541,21.71048524,142,Night,Wednesday,31.66739765,100,336.3460082,21.04113944,4,Level 2,Long-Distance Traveler,14.81654394,12.45871353,Normal
Hyundai Kona,59.34600929,Los Angeles,10.17414248,24.13275237,107,Afternoon,Wednesday,55.3638049,72.50757345,215.4360203,26.47739084,5,Level 1,Long-Distance Traveler,4.722581889,1.322638522,Normal
Hyundai Kona,74.73187871,Houston,21.20516417,20.92189671,149,Afternoon,Sunday,47.99103325,76.36602467,122.509703,10.35180383,2,DC Fast Charger,Commuter,17.30896709,8.482065669,Long Session
Tesla Model 3,103.1429301,San Francisco,32.85421712,45.07260226,173,Evening,Wednesday,18.62271837,50.47581492,129.0953952,18.99386922,5,Level 1,Casual Driver,25.44956546,4.271048226,Normal
Chevy Bolt,89.17360146,Los Angeles,62.52105496,22.00651135,142,Morning,Tuesday,35.70174697,100,137.3452373,7.231902281,4,Level 2,Commuter,45.52109428,15.63026374,Long Session
Tesla Model 3,46.5187505,Chicago,86.86364764,31.44668177,260,Evening,Friday,111.9583274,100,77.90906874,25.50833093,3,Level 2,Long-Distance Traveler,111.4936285,21.71591191,Normal
Chevy Bolt,71.62689303,New York,41.94692242,25.55416029,184,Morning,Saturday,26.91676561,85.47985644,107.5531452,31.18773662,7,DC Fast Charger,Long-Distance Traveler,39.00111182,16.77876897,Long Session
Hyundai Kona,59.45459027,Houston,82.28985208,29.26672942,5,Morning,Monday,40.16854407,100,151.5937098,17.00424846,6,Level 1,Casual Driver,54.28315739,10.69768077,Normal
Chevy Bolt,54.03218772,Chicago,24.003653,40.38831871,104,Night,Tuesday,60.66870527,100,179.4322509,21.52702237,6,DC Fast Charger,Commuter,13.37755776,9.601461198,Normal
Chevy Bolt,102.4715516,San Francisco,7.780811669,59.50429221,104,Morning,Saturday,65.08227723,72.67542044,352.3692281,-9.973374873,2,Level 2,Commuter,2.208141645,1.945202917,Normal
BMW i3,99.8592075,Chicago,29.40738419,28.42321869,181,Afternoon,Thursday,44.42179234,73.8706383,142.3977512,23.53380054,1,DC Fast Charger,Casual Driver,20.65157908,11.76295368,Long Session
Nissan Leaf,79.87697897,New York,27.73603166,37.97014249,85,Evening,Monday,13.08624107,47.80967706,44.52777211,36.36990914,5,Level 1,Commuter,62.28928676,3.605684116,Normal
Hyundai Kona,83.50818693,Houston,52.31324363,27.95254677,115,Morning,Tuesday,56.82293162,100,49.7419928,-2.280978198,3,Level 2,Long-Distance Traveler,105.1691753,13.07831091,Long Session
BMW i3,27.0226664,San Francisco,28.96854314,46.74755988,162,Night,Tuesday,75.50374195,100,19.85423909,29.01378609,7,Level 1,Casual Driver,145.9060859,3.765910609,Normal
Chevy Bolt,71.76261956,Houston,20.58747166,30.8690981,146,Morning,Tuesday,45.44589665,74.13419118,73.63555368,-5.535136899,6,DC Fast Charger,Casual Driver,27.95860238,8.234988664,Normal
Hyundai Kona,60.80050953,New York,48.3355718,28.13099859,134,Night,Saturday,92.35086717,100,288.9555427,11.30017084,1,DC Fast Charger,Casual Driver,16.72768459,19.33422872,Normal
Hyundai Kona,94.0939135,San Francisco,53.69199073,7.565836134,82,Afternoon,Saturday,56.67459212,100,185.6876219,-0.523898198,3,DC Fast Charger,Long-Distance Traveler,28.91522341,21.47679629,Normal
Nissan Leaf,89.97222541,Houston,17.42182821,9.823882291,212,Morning,Sunday,54.66476717,74.0283298,96.26075171,24.11895374,4,Level 1,Casual Driver,18.09857902,2.264837668,Long Session
Nissan Leaf,54.16913111,Houston,46.61600885,31.74028453,99,Afternoon,Saturday,36.4491935,100,161.8728672,30.44872424,2,Level 2,Long-Distance Traveler,28.79791386,11.65400221,Normal
Hyundai Kona,126.9523014,Houston,11.48074313,23.30725133,136,Afternoon,Monday,45.52920726,54.57255898,91.84916696,31.86438744,5,Level 2,Commuter,12.49956152,2.870185783,Normal
Tesla Model 3,84.78606973,San Francisco,26.13163756,20.44565579,85,Evening,Tuesday,92.9237487,100,91.38550857,31.00121241,5,Level 2,Commuter,28.5949468,6.532909389,Normal
Chevy Bolt,67.37813966,Los Angeles,43.70957972,25.40383943,9,Night,Monday,67.0802683,100,157.9256366,28.29585645,5,Level 1,Commuter,27.67731742,5.682245363,Normal
Chevy Bolt,66.97197713,New York,77.72448769,7.560574295,161,Afternoon,Tuesday,46.90962303,100,170.2153292,-0.444963234,4,Level 1,Commuter,45.66244887,10.1041834,Long Session
BMW i3,82.46279563,New York,53.82140851,26.18960136,237,Evening,Saturday,83.56193115,100,146.2105729,6.991902578,4,Level 2,Long-Distance Traveler,36.81088682,13.45535213,Long Session
Nissan Leaf,51.83887183,Los Angeles,39.3883561,11.64971333,134,Evening,Saturday,44.73718821,100,161.1790771,19.25509487,6,Level 1,Long-Distance Traveler,24.43763595,5.120486293,Normal
Tesla Model 3,96.41797138,Chicago,31.67745911,39.071167,64,Morning,Friday,43.0678227,75.92213259,140.5450025,17.76529555,2,DC Fast Charger,Long-Distance Traveler,22.53901494,12.67098364,Normal
BMW i3,59.36540156,New York,46.29736966,10.56895344,151,Afternoon,Tuesday,46.14801607,100,203.9023994,33.36264541,2,DC Fast Charger,Commuter,22.70565221,18.51894786,Normal
Nissan Leaf,60.8274556,Houston,21.14540683,23.13731749,105,Morning,Saturday,23.57773899,58.34067067,151.2404607,-9.365724515,6,Level 1,Commuter,13.98131606,2.748902888,Normal
Hyundai Kona,79.62014203,San Francisco,21.48733256,27.61719202,173,Morning,Tuesday,51.6294168,78.6167243,158.0899278,17.80761263,7,Level 1,Casual Driver,13.59184159,2.793353233,Long Session
Hyundai Kona,56.08732092,Chicago,19.83521784,27.8988374,176,Evening,Wednesday,31.02444704,66.38933435,43.58613715,30.36728576,3,DC Fast Charger,Casual Driver,45.50808843,7.934087136,Normal
Nissan Leaf,38.71453988,Houston,77.37074341,8.329017431,220,Evening,Friday,12.48915226,100,117.6526893,33.300298,2,DC Fast Charger,Commuter,65.7619846,30.94829736,Normal
Tesla Model 3,69.09672911,San Francisco,35.45573551,24.23312729,231,Afternoon,Thursday,64.52622886,100,14.98865905,30.62288646,3,Level 1,Casual Driver,236.5504172,4.609245617,Normal
Nissan Leaf,67.45499688,Chicago,26.78696458,46.8549328,253,Evening,Friday,55.26221399,94.97308171,201.3627358,26.62766359,2,DC Fast Charger,Casual Driver,13.302841,10.71478583,Normal
Chevy Bolt,82.44972954,New York,48.45735395,2.647016809,172,Night,Tuesday,60.85545211,100,74.07024278,28.49352359,6,DC Fast Charger,Commuter,65.42081156,19.38294158,Long Session
Tesla Model 3,75.57263618,Houston,44.17369653,26.87470571,30,Morning,Friday,0.225732705,58.67770522,227.1787867,41.31898076,0,Level 1,Commuter,19.44446362,5.742580549,Normal
Hyundai Kona,59.52322487,San Francisco,34.82698804,24.56676539,172,Night,Friday,72.27621371,100,192.8262887,0.322876693,1,Level 1,Long-Distance Traveler,18.06132778,4.527508445,Normal
Hyundai Kona,71.52912054,Los Angeles,49.39860671,20.64268068,120,Night,Wednesday,39.92651654,100,49.46386173,20.40847117,3,Level 2,Long-Distance Traveler,99.86807537,12.34965168,Long Session
BMW i3,91.24704992,Houston,57.29895118,25.76609118,210,Evening,Sunday,71.36809804,100,32.57663979,23.53677877,6,DC Fast Charger,Long-Distance Traveler,175.8896913,22.91958047,Normal
BMW i3,88.03934725,San Francisco,40.38462026,19.22640264,58,Morning,Thursday,73.92084174,100,173.7895729,5.760024918,4,DC Fast Charger,Commuter,23.23765436,16.1538481,Normal
Chevy Bolt,62.80595657,Chicago,18.34247565,22.98453568,83,Morning,Friday,53.1686537,82.37364738,172.2657078,13.98529128,3,Level 1,Casual Driver,10.6477812,2.384521834,Normal
Nissan Leaf,44.77445673,New York,27.90898677,3.628444871,172,Night,Monday,15.14101807,77.47340311,231.3426086,12.78192303,2,Level 1,Long-Distance Traveler,12.0639198,3.62816828,Normal
Chevy Bolt,32.83385123,New York,81.8235545,29.95893567,302,Evening,Friday,15.26322247,100,202.3292945,17.57526558,3,Level 2,Commuter,40.44078477,20.45588863,Normal
BMW i3,93.41253821,New York,40.78136792,41.17832491,216,Morning,Monday,40.16706752,83.8243417,205.7525861,12.14714265,4,Level 1,Long-Distance Traveler,19.82058583,5.30157783,Normal
Tesla Model 3,77.02187556,San Francisco,85.13073499,21.03514666,143,Evening,Friday,28.51344115,100,158.5918832,9.590159038,2,Level 2,Casual Driver,53.67912486,21.28268375,Long Session
Tesla Model 3,77.03185416,Los Angeles,29.97465909,30.21143194,134,Evening,Thursday,25.28926778,64.20129893,144.1442033,20.66377838,4,Level 1,Long-Distance Traveler,20.79491121,3.896705682,Normal
Tesla Model 3,109.8242357,New York,31.73540649,21.79919839,146,Night,Friday,66.9416153,95.83815739,141.2788714,11.29721074,1,DC Fast Charger,Commuter,22.46295301,12.6941626,Long Session
Tesla Model 3,82.05458113,Chicago,26.87237568,42.24516464,258,Morning,Friday,45.11064852,77.86003961,193.264148,17.807345,4,Level 1,Long-Distance Traveler,13.90448045,3.493408838,Long Session
Chevy Bolt,63.73440903,Los Angeles,4.014309328,7.691563541,145,Morning,Wednesday,22.35573521,28.65423141,196.9023709,2.224315423,5,Level 1,Casual Driver,2.038730823,0.521860213,Long Session
Hyundai Kona,94.24523296,Los Angeles,9.720722726,25.71704924,216,Afternoon,Monday,56.60668405,66.92096989,155.2713681,13.19759529,4,Level 1,Commuter,6.260473419,1.263693954,Long Session
Nissan Leaf,75.90425425,New York,55.58218749,28.3890126,187,Afternoon,Tuesday,10.34217525,83.5688844,233.0845727,8.896766401,2,Level 1,Casual Driver,23.8463605,7.225684374,Long Session
Tesla Model 3,63.04465375,Los Angeles,35.98574551,7.576890359,103,Night,Friday,44.95037687,100,216.4670579,16.04425434,3,DC Fast Charger,Commuter,16.62412094,14.3942982,Long Session
Tesla Model 3,82.32997031,Chicago,24.60167423,24.43963134,146,Evening,Sunday,20.99664681,50.87844336,116.5758545,22.64974123,3,Level 1,Commuter,21.10357616,3.19821765,Normal
Tesla Model 3,45.56917469,San Francisco,92.27738456,26.68624669,135,Afternoon,Tuesday,58.59274368,100,69.49358609,24.77253811,2,DC Fast Charger,Commuter,132.7854695,36.91095382,Normal
Chevy Bolt,92.11070616,Chicago,44.37559281,6.216039211,172,Evening,Friday,75.43474763,100,26.72266666,10.14549151,3,Level 2,Casual Driver,166.0597476,11.0938982,Long Session
